Date : 2020-09-05 23:01:18
Directory : /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src
Total : 247 files,  10436 codes, 369 comments, 2314 blanks, all 13119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/details-container.component.spec.ts                  | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/details-container.component.ts                       | TypeScript |         67 |          0 |         20 |         87 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/events/open.details.event.ts                         | TypeScript |          7 |          0 |          3 |         10 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/events/close.event.ts                | TypeScript |          3 |          0 |          3 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/events/save.event.ts                 | TypeScript |          4 |          0 |          3 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/events/stage.details.event.ts        | TypeScript |          7 |          0 |          3 |         10 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/events/update.event.ts               | TypeScript |          4 |          0 |          3 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/model/change.detector.ts             | TypeScript |         32 |          0 |          8 |         40 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/model/model.ts                       | TypeScript |         44 |          1 |         10 |         55 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/model/state.ts                       | TypeScript |         25 |          0 |          9 |         34 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/model/validator.ts                   | TypeScript |         21 |          0 |          6 |         27 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/project-details.component.css        | CSS        |         37 |          5 |         12 |         54 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/project-details.component.html       | HTML       |        276 |          1 |         18 |        295 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/project-details.component.spec.ts    | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/project-details.component.ts         | TypeScript |        115 |          1 |         17 |        133 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/stage/project.stage.model.ts         | TypeScript |         19 |          0 |          6 |         25 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/project-details/stage/project.stages.controller.ts   | TypeScript |         59 |          1 |         13 |         73 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/events/close.event.ts                  | TypeScript |          3 |          0 |          3 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/events/update.event.ts                 | TypeScript |          4 |          0 |          3 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/model.ts                               | TypeScript |         32 |          0 |         10 |         42 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/stage-details.component.css            | CSS        |          1 |          0 |          1 |          2 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/stage-details.component.html           | HTML       |         87 |          0 |          5 |         92 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/stage-details.component.spec.ts        | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/stage-details/stage-details.component.ts             | TypeScript |         33 |          0 |         10 |         43 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/events/close.event.ts                   | TypeScript |          3 |          0 |          3 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/events/open.labels.event.ts             | TypeScript |          3 |          0 |          3 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/events/save.event.ts                    | TypeScript |          4 |          0 |          3 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/labels/task.label.model.ts              | TypeScript |         30 |          0 |          8 |         38 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/labels/task.labels.controller.ts        | TypeScript |         99 |          5 |         22 |        126 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/model/change.detector.ts                | TypeScript |         25 |          1 |          7 |         33 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/model/model.ts                          | TypeScript |         34 |          1 |         10 |         45 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/model/state.ts                          | TypeScript |         37 |          0 |         13 |         50 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/model/validator.ts                      | TypeScript |         13 |          0 |          5 |         18 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/subtask.view.ts                         | TypeScript |         21 |          0 |          5 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/subtasks/subtasks.editing.controller.ts | TypeScript |         93 |          1 |         20 |        114 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/subtasks/subtasks.editing.model.ts      | TypeScript |         42 |          0 |         14 |         56 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/task-details.component.css              | CSS        |         92 |          7 |         27 |        126 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/task-details.component.html             | HTML       |        388 |          3 |         24 |        415 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/task-details.component.spec.ts          | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/details-container/task-details/task-details.component.ts               | TypeScript |        154 |          5 |         23 |        182 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/lists-container.component.css                          | CSS        |          4 |          0 |          2 |          6 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/lists-container.component.html                         | HTML       |         10 |          0 |          2 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/lists-container.component.spec.ts                      | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/lists-container.component.ts                           | TypeScript |         23 |          1 |         10 |         34 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/adding/projects.adding.controller.ts          | TypeScript |         50 |          2 |         13 |         65 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/adding/projects.adding.model.ts               | TypeScript |          9 |          0 |          3 |         12 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/common/model.ts                               | TypeScript |         52 |          2 |         18 |         72 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/common/projects.loader.ts                     | TypeScript |          6 |          0 |          2 |          8 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/common/special_list.ts                        | TypeScript |          4 |          0 |          0 |          4 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/common/state.ts                               | TypeScript |         51 |          0 |         16 |         67 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/events/project.event.ts                       | TypeScript |         10 |          1 |          8 |         19 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/filtering/filter_model.ts                     | TypeScript |         33 |          0 |         11 |         44 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/filtering/projects.filtering.controller.ts    | TypeScript |         32 |          1 |          6 |         39 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/projects.component.css                        | CSS        |         66 |          7 |         27 |        100 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/projects.component.html                       | HTML       |        106 |          3 |         17 |        126 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/projects.component.spec.ts                    | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/projects.component.ts                         | TypeScript |        101 |          9 |         23 |        133 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/projects/removing/projects.removing.controller.ts      | TypeScript |         35 |          0 |          8 |         43 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/special-lists/events/special.list.event.ts             | TypeScript |          7 |          0 |          3 |         10 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/special-lists/special-lists.component.css              | CSS        |          0 |          0 |          1 |          1 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/special-lists/special-lists.component.html             | HTML       |         16 |          1 |          4 |         21 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/special-lists/special-lists.component.spec.ts          | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/lists-container/special-lists/special-lists.component.ts               | TypeScript |         18 |          1 |          8 |         27 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/events/details.event.ts                                | TypeScript |          7 |          0 |          3 |         10 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/events/remove.event.ts                                 | TypeScript |          4 |          0 |          3 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/controllers/column.controller.ts                | TypeScript |         58 |          4 |          9 |         71 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/controllers/order.controller.ts                 | TypeScript |        119 |          0 |          7 |        126 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/controllers/task.controller.ts                  | TypeScript |         61 |          4 |         12 |         77 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/kanban.component.css                            | CSS        |         73 |          2 |         19 |         94 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/kanban.component.html                           | HTML       |        312 |          0 |         14 |        326 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/kanban.component.spec.ts                        | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/kanban.component.ts                             | TypeScript |        155 |          2 |         37 |        194 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/kanban/kanban.model.ts                                 | TypeScript |        140 |          9 |         36 |        185 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/task.list.ts                                           | TypeScript |         12 |          1 |          2 |         15 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks-container.component.css                          | CSS        |          6 |          0 |          2 |          8 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks-container.component.html                         | HTML       |         19 |          1 |          2 |         22 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks-container.component.spec.ts                      | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks-container.component.ts                           | TypeScript |         72 |          5 |         21 |         98 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/adding/task.adding.controller.ts                 | TypeScript |         65 |          1 |         12 |         78 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/adding/task.adding.model.ts                      | TypeScript |         19 |          0 |          6 |         25 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/common/special.list.ts                           | TypeScript |         41 |          1 |          8 |         50 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/common/task.item.controller.ts                   | TypeScript |         27 |          2 |          7 |         36 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/common/task.item.info.ts                         | TypeScript |         32 |          2 |          5 |         39 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/controllers/order.controller.ts                  | TypeScript |         18 |          1 |          4 |         23 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/filter_model.ts                                  | TypeScript |         50 |          0 |         15 |         65 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/filtering/task.filtering.controller.ts           | TypeScript |         68 |          3 |         12 |         83 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/filtering/task.filtering.model.ts                | TypeScript |         17 |          0 |          8 |         25 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/model.ts                                         | TypeScript |         67 |          0 |         17 |         84 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/task.type.ts                                     | TypeScript |          4 |          0 |          1 |          5 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/tasks.component.css                              | CSS        |         49 |          8 |         16 |         73 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/tasks.component.html                             | HTML       |        249 |          0 |         21 |        270 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/tasks.component.spec.ts                          | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks-container/tasks/tasks.component.ts                               | TypeScript |        143 |          3 |         26 |        172 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/tasks/tasks.module.ts                                                        | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/ui.module.ts                                                              | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/dialog/dialog.component.css                                       | CSS        |          0 |          0 |          1 |          1 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/dialog/dialog.component.html                                      | HTML       |          7 |          0 |          0 |          7 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/dialog/dialog.component.spec.ts                                   | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/dialog/dialog.component.ts                                        | TypeScript |         15 |          0 |          4 |         19 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/directives/timepicker-trigger.directive.spec.ts        | TypeScript |          5 |          2 |          2 |          9 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/directives/timepicker-trigger.directive.ts             | TypeScript |         31 |          0 |         13 |         44 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/directives/trigger.ts                                  | TypeScript |          0 |          0 |          2 |          2 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/time_model.ts                                          | TypeScript |         13 |          0 |          5 |         18 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/timepicker.component.css                               | CSS        |         21 |          0 |          4 |         25 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/timepicker.component.html                              | HTML       |         22 |          0 |          3 |         25 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/timepicker.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/timepicker/timepicker.component.ts                                | TypeScript |        107 |          2 |         27 |        136 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/ui/widgets/widgets.module.ts                                                 | TypeScript |         14 |          0 |          3 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/custom-theme.scss                                                                | SCSS       |          7 |         14 |          8 |         29 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/environments/environment.prod.ts                                                 | TypeScript |          3 |          0 |          1 |          4 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/environments/environment.ts                                                      | TypeScript |          3 |         11 |          3 |         17 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/index.html                                                                       | HTML       |         15 |          0 |          1 |         16 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/main.js                                                                          | JavaScript |         30 |          4 |         11 |         45 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/main.ts                                                                          | TypeScript |          9 |          0 |          4 |         13 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/polyfills.ts                                                                     | TypeScript |          2 |         58 |          8 |         68 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/styles.css                                                                       | CSS        |        383 |         16 |         88 |        487 |
| /media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/test.ts                                                                          | TypeScript |         18 |          4 |          4 |         26 |
| Total                                                                                                                                         |            |     10,436 |        369 |      2,314 |     13,119 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
